Generation,Individual,Fitness,Density,Avg_Neighbors
0,0,5347,0.5204,4.1632
0,1,5486,0.5064,4.0512
0,2,5784,0.4984,3.9872
0,3,6495,0.4804,3.8432
0,4,4923,0.522,4.176
0,5,5902,0.5148,4.1184
0,6,5670,0.5152,4.1216
0,7,5341,0.5028,4.0224
0,8,5088,0.5144,4.1152
0,9,6105,0.4932,3.9456
0,10,5899,0.504,4.032
0,11,5500,0.5168,4.1344
0,12,5818,0.5048,4.0384
0,13,6212,0.4912,3.9296
0,14,6174,0.4808,3.8464
0,15,5852,0.5024,4.0192
0,16,5214,0.5116,4.0928
0,17,6019,0.4972,3.9776
0,18,5895,0.502,4.016
0,19,5929,0.49,3.92
0,20,5616,0.5028,4.0224
0,21,5433,0.514,4.112
0,22,5916,0.5016,4.0128
0,23,5236,0.5184,4.1472
0,24,6208,0.4764,3.8112
0,25,5525,0.5176,4.1408
0,26,6002,0.5076,4.0608
0,27,5608,0.5108,4.0864
0,28,6529,0.4888,3.9104
0,29,6118,0.4904,3.9232
0,30,5637,0.508,4.064
0,31,5934,0.5068,4.0544
0,32,5434,0.502,4.016
0,33,5472,0.4988,3.9904
0,34,6219,0.4756,3.8048
0,35,6054,0.5048,4.0384
0,36,5706,0.506,4.048
0,37,5376,0.498,3.984
0,38,6078,0.4992,3.9936
0,39,6051,0.4884,3.9072
0,40,5464,0.5032,4.0256
0,41,5375,0.5028,4.0224
0,42,5724,0.4996,3.9968
0,43,5775,0.4964,3.9712
0,44,6340,0.4956,3.9648
0,45,5476,0.5072,4.0576
0,46,6121,0.4916,3.9328
0,47,6144,0.4908,3.9264
0,48,5711,0.5108,4.0864
0,49,5565,0.514,4.112
1,0,6354,0.4912,3.9296
1,1,6150,0.4872,3.8976
1,2,6056,0.4924,3.9392
1,3,6125,0.4856,3.8848
1,4,5538,0.4852,3.8816
1,5,5716,0.49,3.92
1,6,6003,0.4868,3.8944
1,7,6123,0.4712,3.7696
1,8,5830,0.5108,4.0864
1,9,5874,0.5036,4.0288
1,10,6336,0.494,3.952
1,11,5736,0.4916,3.9328
1,12,6136,0.4784,3.8272
1,13,6136,0.4828,3.8624
1,14,6529,0.4744,3.7952
1,15,5753,0.4816,3.8528
1,16,5998,0.4988,3.9904
1,17,6077,0.4692,3.7536
1,18,5749,0.4944,3.9552
1,19,6421,0.5012,4.0096
1,20,5409,0.4956,3.9648
1,21,5281,0.5024,4.0192
1,22,6379,0.4772,3.8176
1,23,6024,0.488,3.904
1,24,5564,0.49,3.92
1,25,5871,0.4876,3.9008
1,26,5640,0.49,3.92
1,27,6154,0.4924,3.9392
1,28,6460,0.4836,3.8688
1,29,5845,0.4924,3.9392
1,30,5462,0.4928,3.9424
1,31,6260,0.4784,3.8272
1,32,5892,0.4736,3.7888
1,33,6081,0.5004,4.0032
1,34,6091,0.4956,3.9648
1,35,5801,0.4996,3.9968
1,36,5848,0.5064,4.0512
1,37,5574,0.4992,3.9936
1,38,5694,0.4892,3.9136
1,39,6265,0.4916,3.9328
1,40,6421,0.474,3.792
1,41,5993,0.4796,3.8368
1,42,5483,0.488,3.904
1,43,5885,0.4844,3.8752
1,44,6291,0.49,3.92
1,45,5555,0.49,3.92
1,46,5746,0.4948,3.9584
1,47,5874,0.4948,3.9584
1,48,5890,0.4952,3.9616
1,49,6225,0.4784,3.8272
2,0,6257,0.4908,3.9264
2,1,5993,0.4752,3.8016
2,2,5907,0.5008,4.0064
2,3,6220,0.488,3.904
2,4,6457,0.4888,3.9104
2,5,6079,0.4832,3.8656
2,6,5734,0.508,4.064
2,7,6093,0.4828,3.8624
2,8,5956,0.4904,3.9232
2,9,5882,0.492,3.936
2,10,6077,0.502,4.016
2,11,6523,0.4804,3.8432
