Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,0,30788,1195,2568,2586,2794,69,0
0,1,30793,1192,2556,2586,2802,71,0
0,2,30784,1198,2544,2605,2797,72,0
0,3,30785,1202,2527,2624,2786,76,0
0,4,30779,1206,2515,2639,2783,78,0
0,5,30777,1216,2499,2660,2768,80,0
0,6,30760,1227,2486,2662,2784,81,0
0,7,30772,1235,2466,2678,2766,83,0
0,8,30778,1238,2456,2688,2755,85,0
0,9,30781,1240,2446,2701,2744,88,0
0,10,30764,1253,2428,2715,2752,88,0
0,11,30742,1265,2412,2734,2756,91,0
0,12,30734,1269,2395,2752,2755,95,0
0,13,30722,1271,2385,2762,2761,99,0
0,14,30717,1272,2378,2766,2767,100,0
0,15,30693,1275,2367,2789,2773,103,0
0,16,30692,1279,2358,2798,2769,104,0
0,17,30686,1286,2348,2804,2770,106,0
0,18,30683,1292,2332,2827,2758,108,0
0,19,30704,1297,2314,2835,2738,112,0
0,20,30721,1303,2299,2839,2725,113,0
0,21,30713,1302,2291,2847,2730,117,0
0,22,30715,1304,2279,2866,2718,118,0
0,23,30715,1315,2262,2873,2716,119,0
0,24,30705,1317,2251,2885,2720,122,0
0,25,30712,1317,2245,2884,2717,125,0
0,26,30705,1322,2232,2895,2719,127,0
0,27,30715,1316,2224,2904,2706,135,0
0,28,30710,1316,2217,2908,2714,135,0
0,29,30698,1316,2205,2916,2721,144,0
0,30,30691,1317,2190,2930,2724,148,0
0,31,30701,1312,2180,2940,2715,152,0
0,32,30709,1320,2166,2953,2699,153,0
0,33,30708,1315,2157,2957,2703,160,0
0,34,30708,1313,2149,2962,2705,163,0
0,35,30703,1311,2139,2967,2712,168,0
0,36,30710,1305,2134,2977,2703,171,0
0,37,30719,1303,2123,2984,2693,178,0
0,38,30716,1307,2110,2983,2706,178,0
0,39,30707,1308,2103,2994,2708,180,0
0,40,30708,1312,2095,3000,2702,183,0
0,41,30710,1315,2080,3010,2699,186,0
0,42,30710,1314,2077,3020,2691,188,0
0,43,30722,1317,2067,3027,2678,189,0
0,44,30712,1318,2062,3033,2683,192,0
0,45,30687,1324,2049,3049,2697,194,0
0,46,30688,1321,2045,3055,2693,198,0
0,47,30700,1321,2036,3064,2678,201,0
0,48,30701,1312,2028,3076,2677,206,0
0,49,30709,1308,2023,3081,2665,214,0
0,50,30724,1306,2008,3089,2654,219,0
0,51,30703,1312,1997,3100,2668,220,0
0,52,30717,1308,1988,3110,2654,223,0
0,53,30719,1311,1980,3111,2652,227,0
0,54,30717,1313,1968,3122,2651,229,0
0,55,30725,1308,1962,3130,2639,236,0
0,56,30727,1304,1954,3137,2639,239,0
0,57,30736,1304,1943,3139,2634,244,0
0,58,30738,1302,1942,3142,2630,246,0
0,59,30735,1301,1932,3155,2629,248,0
0,60,30753,1300,1925,3155,2614,253,0
0,61,30766,1297,1923,3153,2607,254,0
0,62,30765,1293,1921,3167,2597,257,0
0,63,30777,1292,1917,3166,2588,260,0
0,64,30776,1295,1901,3173,2589,266,0
0,65,30787,1295,1894,3181,2572,271,0
0,66,30798,1296,1886,3184,2562,274,0
0,67,30833,1292,1877,3183,2536,279,0
0,68,30833,1289,1870,3188,2534,286,0
0,69,30842,1295,1855,3191,2527,290,0
0,70,30850,1296,1845,3197,2519,293,0
0,71,30860,1299,1834,3204,2506,297,0
0,72,30845,1301,1822,3213,2514,305,0
0,73,30846,1296,1811,3221,2516,310,0
0,74,30870,1287,1806,3222,2498,317,0
0,75,30872,1283,1802,3223,2499,321,0
0,76,30880,1282,1800,3225,2488,325,0
0,77,30886,1285,1789,3230,2483,327,0
0,78,30881,1289,1781,3238,2481,330,0
0,79,30898,1293,1772,3238,2467,332,0
0,80,30881,1291,1770,3247,2473,338,0
0,81,30890,1288,1768,3246,2467,341,0
0,82,30905,1285,1764,3250,2450,346,0
0,83,30915,1290,1755,3239,2454,347,0
0,84,30911,1287,1749,3245,2454,354,0
0,85,30931,1280,1743,3246,2442,358,0
0,86,30929,1281,1736,3254,2439,361,0
0,87,30932,1282,1732,3251,2437,366,0
0,88,30929,1280,1729,3253,2440,369,0
0,89,30952,1285,1718,3258,2417,370,0
0,90,30955,1288,1711,3262,2410,374,0
0,91,30967,1286,1703,3262,2400,382,0
0,92,30979,1284,1699,3265,2387,386,0
0,93,30981,1283,1693,3266,2388,389,0
0,94,30986,1285,1684,3271,2381,393,0
0,95,30990,1283,1676,3270,2384,397,0
0,96,30993,1283,1668,3275,2377,404,0
0,97,30998,1277,1663,3279,2374,409,0
0,98,31012,1270,1657,3280,2367,414,0
0,99,31022,1266,1649,3282,2360,421,0
0,100,31029,1260,1642,3279,2362,428,0
0,101,31035,1258,1639,3282,2356,430,0
0,102,31057,1254,1640,3283,2334,432,0
0,103,31047,1256,1634,3292,2332,439,0
0,104,31045,1256,1626,3296,2332,445,0
0,105,31041,1256,1624,3295,2337,447,0
0,106,31045,1261,1615,3298,2330,451,0
0,107,31051,1259,1609,3300,2323,458,0
0,108,31080,1260,1608,3295,2297,460,0
0,109,31079,1254,1607,3302,2289,469,0
0,110,31097,1250,1603,3300,2276,474,0
0,111,31101,1245,1599,3295,2279,481,0
0,112,31100,1237,1596,3295,2287,485,0
0,113,31112,1235,1590,3299,2275,489,0
0,114,31105,1234,1584,3307,2277,493,0
0,115,31101,1231,1579,3307,2284,498,0
0,116,31106,1229,1577,3305,2281,502,0
0,117,31107,1232,1571,3308,2276,506,0
0,118,31098,1228,1569,3314,2279,512,0
