Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,0,30972,1046,2568,2505,2830,79,0
0,1,30976,1047,2553,2520,2825,79,0
0,2,30979,1057,2534,2539,2812,79,0
0,3,30968,1060,2523,2550,2816,83,0
0,4,30968,1065,2508,2562,2811,86,0
0,5,30969,1071,2493,2581,2798,88,0
0,6,30942,1084,2472,2605,2808,89,0
0,7,30924,1088,2461,2624,2812,91,0
0,8,30913,1096,2450,2639,2810,92,0
0,9,30897,1104,2433,2662,2808,96,0
0,10,30908,1108,2418,2669,2800,97,0
0,11,30911,1114,2403,2681,2793,98,0
0,12,30900,1123,2387,2698,2792,100,0
0,13,30883,1135,2369,2715,2795,103,0
0,14,30898,1139,2360,2723,2774,106,0
0,15,30901,1140,2340,2739,2768,112,0
0,16,30903,1142,2327,2754,2761,113,0
0,17,30891,1145,2319,2768,2762,115,0
0,18,30900,1155,2299,2790,2740,116,0
0,19,30911,1158,2292,2801,2721,117,0
0,20,30906,1168,2277,2814,2717,118,0
0,21,30899,1171,2270,2827,2714,119,0
0,22,30884,1176,2262,2836,2721,121,0
0,23,30881,1179,2250,2844,2724,122,0
0,24,30878,1181,2242,2855,2720,124,0
0,25,30891,1190,2227,2860,2706,126,0
0,26,30893,1197,2216,2869,2698,127,0
0,27,30904,1203,2199,2873,2691,130,0
0,28,30894,1204,2190,2877,2701,134,0
0,29,30892,1204,2178,2878,2710,138,0
0,30,30903,1205,2167,2881,2705,139,0
0,31,30920,1209,2158,2884,2689,140,0
0,32,30934,1211,2149,2890,2673,143,0
0,33,30931,1215,2139,2901,2669,145,0
0,34,30932,1220,2128,2905,2667,148,0
0,35,30939,1227,2116,2910,2660,148,0
0,36,30914,1237,2101,2923,2671,154,0
0,37,30902,1240,2091,2936,2677,154,0
0,38,30900,1244,2083,2945,2672,156,0
0,39,30901,1249,2073,2954,2667,156,0
0,40,30880,1251,2069,2962,2680,158,0
0,41,30871,1255,2054,2978,2680,162,0
0,42,30861,1256,2042,2993,2682,166,0
0,43,30871,1254,2036,3010,2663,166,0
0,44,30881,1251,2027,3015,2652,174,0
0,45,30902,1253,2015,3016,2636,178,0
0,46,30903,1259,2002,3020,2635,181,0
0,47,30891,1256,1989,3024,2655,185,0
0,48,30911,1251,1976,3031,2641,190,0
0,49,30921,1248,1968,3036,2635,192,0
0,50,30935,1251,1956,3042,2622,194,0
0,51,30945,1249,1953,3045,2613,195,0
0,52,30957,1245,1949,3045,2604,200,0
0,53,30967,1245,1941,3047,2599,201,0
0,54,30975,1244,1934,3055,2585,207,0
0,55,30990,1246,1925,3063,2568,208,0
0,56,30995,1247,1914,3068,2564,212,0
0,57,31007,1246,1907,3072,2554,214,0
0,58,31005,1249,1898,3077,2554,217,0
0,59,31012,1249,1892,3084,2545,218,0
0,60,31011,1252,1885,3090,2542,220,0
0,61,31023,1260,1870,3090,2532,225,0
0,62,31029,1256,1862,3097,2528,228,0
0,63,31022,1259,1853,3102,2533,231,0
0,64,31023,1257,1849,3112,2525,234,0
0,65,31021,1262,1841,3116,2524,236,0
0,66,31030,1261,1833,3125,2513,238,0
0,67,31029,1263,1826,3129,2512,241,0
0,68,31061,1262,1821,3126,2486,244,0
0,69,31050,1262,1810,3130,2500,248,0
0,70,31055,1259,1805,3135,2497,249,0
0,71,31069,1261,1796,3143,2478,253,0
0,72,31069,1257,1792,3147,2477,258,0
0,73,31064,1252,1785,3151,2483,265,0
0,74,31071,1253,1784,3154,2472,266,0
0,75,31080,1253,1781,3154,2466,266,0
0,76,31071,1254,1775,3161,2471,268,0
0,77,31057,1254,1770,3165,2485,269,0
0,78,31061,1252,1767,3167,2480,273,0
0,79,31040,1252,1762,3175,2492,279,0
0,80,31046,1249,1757,3178,2485,285,0
0,81,31028,1251,1747,3182,2503,289,0
0,82,31038,1250,1744,3185,2490,293,0
0,83,31051,1251,1734,3187,2482,295,0
0,84,31064,1248,1731,3185,2472,300,0
0,85,31075,1244,1726,3188,2463,304,0
0,86,31075,1242,1722,3198,2455,308,0
0,87,31079,1244,1715,3203,2448,311,0
0,88,31078,1246,1708,3205,2450,313,0
0,89,31070,1249,1701,3205,2456,319,0
0,90,31071,1246,1701,3213,2447,322,0
0,91,31070,1246,1692,3225,2441,326,0
0,92,31077,1245,1685,3229,2434,330,0
0,93,31096,1245,1674,3228,2423,334,0
0,94,31092,1243,1668,3233,2426,338,0
0,95,31121,1242,1660,3234,2400,343,0
0,96,31126,1243,1657,3242,2385,347,0
0,97,31134,1242,1651,3241,2381,351,0
0,98,31138,1239,1649,3236,2387,351,0
0,99,31140,1239,1644,3235,2386,356,0
0,100,31132,1238,1639,3240,2391,360,0
0,101,31115,1235,1637,3243,2405,365,0
0,102,31114,1230,1633,3238,2416,369,0
0,103,31136,1224,1631,3244,2394,371,0
0,104,31130,1221,1625,3253,2397,374,0
0,105,31133,1218,1622,3255,2395,377,0
0,106,31120,1215,1617,3258,2411,379,0
0,107,31116,1215,1611,3266,2409,383,0
0,108,31129,1212,1608,3279,2387,385,0
0,109,31159,1209,1606,3277,2360,389,0
0,110,31157,1203,1603,3274,2371,392,0
0,111,31150,1203,1597,3282,2373,395,0
0,112,31135,1202,1593,3290,2381,399,0
0,113,31126,1199,1588,3293,2393,401,0
0,114,31109,1195,1584,3296,2414,402,0
0,115,31089,1195,1579,3302,2433,402,0
0,116,31094,1193,1576,3302,2429,406,0
0,117,31106,1189,1570,3313,2412,410,0
0,118,31099,1186,1566,3318,2419,412,0
0,119,31095,1184,1563,3326,2419,413,0
0,120,31075,1185,1560,3345,2422,413,0
0,121,31081,1183,1557,3350,2412,417,0
0,122,31095,1182,1548,3356,2396,423,0
0,123,31107,1178,1543,3354,2391,427,0
0,124,31114,1173,1543,3367,2372,431,0
0,125,31117,1171,1537,3374,2366,435,0
0,126,31138,1169,1533,3375,2348,437,0
0,127,31142,1167,1532,3378,2343,438,0
0,128,31143,1167,1527,3380,2342,441,0
0,129,31137,1169,1523,3389,2341,441,0
0,130,31126,1169,1519,3395,2345,446,0
0,131,31140,1169,1519,3392,2333,447,0
0,132,31128,1169,1518,3393,2344,448,0
0,133,31111,1165,1517,3397,2357,453,0
0,134,31091,1163,1515,3395,2381,455,0
0,135,31089,1160,1512,3400,2379,460,0
0,136,31084,1162,1504,3409,2380,461,0
0,137,31075,1163,1500,3415,2385,462,0
0,138,31069,1160,1496,3417,2390,468,0
0,139,31077,1158,1493,3423,2377,472,0
0,140,31068,1157,1487,3433,2385,470,0
0,141,31055,1158,1483,3446,2387,471,0
0,142,31043,1155,1481,3447,2398,476,0
0,143,31017,1156,1473,3449,2428,477,0
0,144,31035,1149,1470,3449,2417,480,0
0,145,31034,1149,1468,3456,2411,482,0
0,146,31009,1147,1468,3464,2427,485,0
0,147,31014,1145,1465,3462,2427,487,0
0,148,31018,1140,1460,3469,2423,490,0
0,149,30991,1139,1453,3468,2457,492,0
0,150,30971,1134,1449,3468,2487,491,0
0,151,30981,1132,1446,3469,2480,492,0
0,152,30977,1130,1445,3472,2481,495,0
0,153,30970,1128,1442,3478,2485,497,0
0,154,30961,1122,1443,3488,2486,500,0
0,155,30942,1122,1435,3497,2505,499,0
0,156,30914,1118,1434,3511,2522,501,0
0,157,30904,1118,1430,3525,2520,503,0
0,158,30903,1113,1430,3528,2521,505,0
0,159,30895,1114,1426,3535,2523,507,0
0,160,30879,1113,1422,3551,2524,511,0
0,161,30862,1112,1418,3569,2524,515,0
0,162,30841,1109,1415,3581,2537,517,0
0,163,30830,1106,1412,3590,2541,521,0
0,164,30825,1104,1412,3597,2540,522,0
0,165,30820,1103,1411,3604,2538,524,0
0,166,30793,1104,1412,3618,2548,525,0
0,167,30788,1104,1413,3630,2538,527,0
0,168,30797,1104,1410,3638,2515,536,0
0,169,30793,1102,1403,3651,2510,541,0
0,170,30770,1101,1400,3660,2525,544,0
0,171,30764,1099,1398,3672,2520,547,0
0,172,30772,1095,1395,3685,2502,551,0
0,173,30748,1094,1394,3686,2528,550,0
0,174,30724,1094,1392,3686,2551,553,0
0,175,30692,1088,1389,3702,2572,557,0
0,176,30674,1087,1390,3712,2570,567,0
0,177,30662,1082,1392,3722,2573,569,0
0,178,30666,1082,1386,3732,2556,578,0
0,179,30665,1082,1385,3729,2559,580,0
