Simulation,Step,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,0,30821,1081,2615,2684,2737,62,0
0,1,30831,1080,2598,2695,2732,64,0
0,2,30837,1086,2582,2711,2718,66,0
0,3,30842,1093,2570,2728,2700,67,0
0,4,30834,1103,2553,2739,2701,70,0
0,5,30825,1104,2545,2760,2694,72,0
0,6,30828,1113,2529,2778,2677,75,0
0,7,30836,1115,2516,2797,2657,79,0
0,8,30831,1122,2502,2804,2661,80,0
0,9,30815,1125,2487,2819,2670,84,0
0,10,30810,1134,2461,2847,2661,87,0
0,11,30817,1136,2453,2850,2655,89,0
0,12,30793,1142,2440,2864,2670,91,0
0,13,30785,1150,2423,2874,2674,94,0
0,14,30776,1156,2407,2890,2671,100,0
0,15,30760,1152,2398,2912,2673,105,0
0,16,30762,1153,2392,2919,2667,107,0
0,17,30766,1153,2386,2929,2657,109,0
0,18,30763,1156,2375,2935,2660,111,0
0,19,30778,1161,2361,2945,2643,112,0
0,20,30792,1178,2342,2952,2623,113,0
0,21,30775,1185,2333,2971,2622,114,0
0,22,30761,1187,2324,2979,2630,119,0
0,23,30753,1191,2305,2987,2641,123,0
0,24,30756,1193,2294,2996,2634,127,0
0,25,30740,1192,2285,3001,2652,130,0
0,26,30755,1195,2270,3012,2636,132,0
0,27,30756,1201,2258,3027,2624,134,0
0,28,30761,1202,2252,3030,2619,136,0
0,29,30779,1203,2244,3036,2600,138,0
0,30,30776,1208,2233,3043,2601,139,0
0,31,30774,1212,2221,3054,2600,139,0
0,32,30772,1215,2210,3062,2597,144,0
0,33,30779,1215,2202,3073,2585,146,0
0,34,30782,1221,2190,3075,2583,149,0
0,35,30784,1218,2182,3087,2575,154,0
0,36,30795,1220,2174,3091,2565,155,0
0,37,30802,1219,2168,3093,2561,157,0
0,38,30804,1219,2160,3093,2561,163,0
0,39,30827,1217,2150,3101,2539,166,0
0,40,30812,1219,2139,3101,2559,170,0
0,41,30809,1220,2130,3110,2559,172,0
0,42,30809,1225,2122,3117,2554,173,0
0,43,30811,1221,2120,3120,2553,175,0
0,44,30811,1228,2109,3126,2549,177,0
0,45,30811,1234,2093,3132,2551,179,0
0,46,30791,1236,2088,3130,2574,181,0
0,47,30773,1234,2086,3139,2584,184,0
0,48,30784,1235,2078,3149,2568,186,0
0,49,30782,1235,2070,3151,2573,189,0
0,50,30774,1234,2064,3154,2582,192,0
0,51,30780,1237,2056,3155,2578,194,0
0,52,30771,1234,2051,3156,2590,198,0
0,53,30784,1235,2041,3163,2577,200,0
0,54,30789,1236,2034,3166,2571,204,0
0,55,30791,1236,2028,3171,2566,208,0
0,56,30805,1235,2022,3171,2558,209,0
0,57,30797,1234,2020,3174,2563,212,0
0,58,30808,1233,2014,3176,2556,213,0
0,59,30819,1233,2003,3182,2546,217,0
0,60,30826,1237,1995,3186,2538,218,0
0,61,30830,1237,1988,3195,2529,221,0
0,62,30839,1235,1981,3197,2523,225,0
0,63,30842,1239,1976,3201,2516,226,0
0,64,30835,1239,1968,3205,2524,229,0
0,65,30846,1234,1961,3213,2510,236,0
0,66,30864,1230,1953,3215,2501,237,0
0,67,30882,1229,1946,3218,2487,238,0
0,68,30894,1226,1941,3224,2474,241,0
0,69,30901,1230,1931,3229,2467,242,0
0,70,30908,1232,1921,3231,2465,243,0
0,71,30928,1229,1916,3235,2443,249,0
0,72,30936,1223,1906,3241,2441,253,0
0,73,30936,1223,1899,3253,2436,253,0
0,74,30922,1223,1890,3257,2448,260,0
0,75,30905,1222,1885,3263,2462,263,0
0,76,30910,1223,1874,3272,2456,265,0
0,77,30903,1223,1866,3279,2459,270,0
0,78,30901,1225,1858,3286,2458,272,0
0,79,30913,1223,1852,3290,2444,278,0
0,80,30928,1224,1844,3290,2436,278,0
0,81,30930,1228,1838,3296,2428,280,0
0,82,30940,1230,1829,3299,2420,282,0
0,83,30946,1231,1824,3309,2405,285,0
