Generation,Best Fitness,Avg Fitness,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,56146535262697.32,20394466545266.426,7650,303,726,711,485,18,107
1,122863943679244.78,57469968810906.664,7633,305,690,699,545,42,86
2,176348595308097.94,72012522758155.62,7553,327,695,689,565,59,112
3,1225742754627399.5,231340886982841.75,7489,335,710,710,569,68,119
4,691334346454203.8,189150973056023.94,7502,330,733,723,515,68,129
5,1202345179527869.0,236652456593835.9,7442,352,738,710,532,78,148
6,1273234066827665.2,277612496864134.0,7361,364,744,729,546,88,168
7,737775758402641.8,281302116732713.2,7278,393,742,750,558,97,182
8,1221360509081058.8,470510938423287.9,7176,400,779,770,575,119,181
9,2327968361414614.5,1018337649306282.8,7090,408,782,785,604,126,205
10,6807625683559403.0,1755665094683736.2,7049,436,780,778,601,137,219
11,2.0486515856477656e+16,3022715856921146.5,6953,430,793,792,648,140,244
12,6707540933282944.0,1517546667189255.2,6913,453,803,767,650,153,261
13,2.0426618544593856e+16,3286595907641307.0,6847,448,809,788,673,170,265
14,7611372836168957.0,1858136730631258.5,6802,449,821,784,660,200,284
15,7379715880436162.0,2115589213722856.8,6742,463,826,793,665,209,302
16,2088755427669640.2,1466208314322028.5,6734,485,819,792,678,197,295
17,4050463381122937.5,1819267372832537.5,6652,504,849,793,658,221,323
18,2530438739269092.0,1338182385461506.0,6589,508,832,850,696,220,305
19,2465636211684427.0,1563239145889687.0,6553,517,847,841,691,236,315
