Generation,Best Fitness,Avg Fitness,Space,Star,Planet,Asteroid,Energy,Black_Hole,Antimatter
0,210834311775223.9,88953787037619.31,30832,1183,2829,2790,1983,67,316
1,768935083299298.5,289187985518986.56,30627,1257,2793,2822,2013,131,357
2,839097328399910.9,309819832126984.8,30211,1325,2856,2876,2117,182,433
3,841699504375133.9,431670481214600.1,30095,1337,2880,2886,2107,224,471
4,3459975946841291.5,894528079940123.2,29801,1417,2882,2918,2147,291,544
5,1615067718077845.5,641276995101629.5,29567,1442,2901,2952,2185,346,607
6,1207912174285510.0,643522761412149.1,29403,1442,2895,2971,2252,403,634
7,2705280357849820.5,1133702584123619.5,29122,1483,2958,2990,2270,487,690
8,3313217397880381.5,1377184097947229.5,28758,1536,3044,3079,2317,530,736
9,2999786952417368.0,1266820776507523.5,28702,1580,3045,3051,2295,551,776
10,2158928752914259.8,1358031315971662.8,28460,1672,3063,3069,2285,604,847
11,2653814731723118.5,1452093608094312.2,28217,1728,3089,3095,2336,664,871
12,5404142389542345.0,2255234724475657.5,28010,1755,3136,3090,2371,724,914
13,9859886434748492.0,3333180890795991.5,27730,1787,3194,3147,2392,786,964
14,1.411931410549859e+16,5135745406498471.0,27540,1784,3202,3171,2490,804,1009
15,1.3750823882055598e+16,4137024291648915.0,27383,1814,3193,3184,2501,868,1057
16,1.856474715472905e+16,6143902800950820.0,27131,1911,3236,3172,2471,946,1133
17,1.5565517296625252e+16,5407826734216038.0,26857,1913,3326,3253,2519,943,1189
18,1.5505886039222136e+16,6490057449370066.0,26667,2011,3292,3241,2566,1004,1219
19,1.2496615817548586e+16,5016412670534570.0,26439,2000,3368,3299,2578,1033,1283
